Epitope_ID,PDB
2218036,2EKS
2218035,2EIZ
2218019,2YSS
164074,1GC1
164069,1G9N
164067,2I5Y
164075,1RZJ
174342,2NXY
164077,1G9M
2135094,3B2V
164068,1YYL
164080,2XRA
164078,3MAC
164079,3MA9
226303,4KHT
238057,4RQS
419439,4XMP
419438,4XNY
538520,5IES
2134847,5D70
2134844,5D72
2134846,5D71
2134845,5C7X
607152,5UMN
2134648,5X8M
738088,6AZZ
738089,6B08
738090,6B0H
738086,6B0G
738087,6B0E
745538,6AYZ
745539,5UCB
745536,5UEA
745537,6AZ2
858592,6MFT
912904,6OE5
919713,6BKC
969167,6Q0E
969166,6Q0H
969168,6Q18
1075136,7BZ5
1074821,6UYF
1075135,7BWJ
1083498,7C01
1087186,6YLA
1309149,6Z2M
1309150,6Z2M
1087266,6XC2
1087267,6XC4
1307796,6ZCZ
1307795,6ZCZ
1310038,7JMO
1310037,7JMP
1311247,7CHB
1311248,7CH4
1311246,7CH5
1311250,6XE1
1314088,7K8M
1334440,7CDI
1335943,7CM4
1338221,7KN7
1338216,7KN6
1338222,7JMW
1338215,7KMG
1338212,7KMH
1338213,7KMI
1335959,7KFY
1335960,7KFX
1335410,7KLG
1335409,7KLH
1346822,7BEI
1346821,7BEJ
1346823,7BEM
1346827,7BEH
1347915,7L2C
1392553,7CJF
1392552,7MF1
1392550,7M3I
1397231,7MMO
1397524,7E86
1397518,7E7Y
1397527,7E7X
1597632,7N3I
2134911,7N4L
2135051,7N4M
2135046,7MSQ
1860911,7PS1
2134995,7PQY
2134939,7F7E
2134927,7L7D
1945263,7S5P
2134982,7CHO
2134977,7CHP
2134997,7CHS
1972671,7E8M
2134973,7B3O
2134978,7E5Y
2060763,7RXI
2060765,7RXJ
2060764,7S0X
2060661,7U2E
2060664,7U2D
2135057,7SD5
2060704,7SBU
2135060,7FCQ
2116364,7ZF8
2116028,8CWV
2116035,8CWV
2144729,7WBZ
2151459,8BH5
2186582,7T72
2217933,7UL1
2217931,7UL0
2189050,7NEH
2189051,7NEG
2192641,7E5O
2218457,7XS8
2218456,7XSC
